"","data","date","park"
"PRISM_tmean_stable_4kmM2_1980_bil",7.12774991989136,1980-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1982_bil",7.06020879745483,1982-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1983_bil",7.83829164505005,1983-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1984_bil",7.67533349990845,1984-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1985_bil",6.54220819473267,1985-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1986_bil",6.5145001411438,1986-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1987_bil",6.61525011062622,1987-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1988_bil",7.02104139328003,1988-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1989_bil",6.69224977493286,1989-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1990_bil",8.22620868682861,1990-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1991_bil",8.20070838928223,1991-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1992_bil",6.61666679382324,1992-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1993_bil",6.97350025177002,1993-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1994_bil",7.42945861816406,1994-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1995_bil",7.56370830535889,1995-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1996_bil",7.11995840072632,1996-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1997_bil",6.95483350753784,1997-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1998_bil",8.53912544250488,1998-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_1999_bil",8.91574954986572,1999-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2000_bil",7.4265832901001,2000-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2001_bil",8.21870803833008,2001-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2002_bil",7.80100011825562,2002-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2003_bil",7.13158321380615,2003-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2004_bil",6.79708337783813,2004-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2005_bil",7.61666679382324,2005-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2006_bil",9.03583335876465,2006-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2007_bil",7.65812492370605,2007-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2008_bil",8.22912502288818,2008-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2009_bil",7.68979215621948,2009-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2010_bil",9.51229095458984,2010-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2011_bil",8.58404159545898,2011-01-01,"ACDA"
"PRISM_tmean_stable_4kmM2_2012_bil",9.34841632843018,2012-01-01,"ACDA"
