"","year","summer_avg","park"
"1","1980",18.4750003814697,"Acadia"
"2","1982",17.8916660944621,"Acadia"
"3","1983",19.1333332061768,"Acadia"
"4","1984",18.2866665522257,"Acadia"
"5","1985",17.7866662343343,"Acadia"
"6","1986",16.3016665776571,"Acadia"
"7","1987",17.1733331680298,"Acadia"
"8","1988",18.25,"Acadia"
"9","1989",17.8283335367839,"Acadia"
"10","1990",18.5833336512248,"Acadia"
"11","1991",18.3933324813843,"Acadia"
"12","1992",17.1316661834717,"Acadia"
"13","1993",18.3883330027262,"Acadia"
"14","1994",18.5983333587646,"Acadia"
"15","1995",18.4700002670288,"Acadia"
"16","1996",17.3783334096273,"Acadia"
"17","1997",18.1349992752075,"Acadia"
"18","1998",18.7616659800212,"Acadia"
"19","1999",19.7633336385091,"Acadia"
"20","2000",17.4549992879232,"Acadia"
"21","2001",18.7816670735677,"Acadia"
"22","2002",19.2816670735677,"Acadia"
"23","2003",19.4350001017253,"Acadia"
"24","2004",17.7750002543132,"Acadia"
"25","2005",19.4183330535889,"Acadia"
"26","2006",18.8199990590413,"Acadia"
"27","2007",18.7083333333333,"Acadia"
"28","2008",18.4333333969116,"Acadia"
"29","2009",17.8333339691162,"Acadia"
"30","2010",19.7666664123535,"Acadia"
"31","2011",19.556666692098,"Acadia"
"32","2012",19.7649993896484,"Acadia"
"33","2013",18.6983331044515,"Acadia"
"34","2014",18.6433334350586,"Acadia"
"35","1980",16.2800003687541,"Voyageurs"
"36","1982",15.8633327484131,"Voyageurs"
"37","1983",18.1733331680298,"Voyageurs"
"38","1984",16.2150001525879,"Voyageurs"
"39","1985",14.8916664123535,"Voyageurs"
"40","1986",15.6750008265177,"Voyageurs"
"41","1987",16.8049993515015,"Voyageurs"
"42","1988",17.0116669336955,"Voyageurs"
"43","1989",17.3316666285197,"Voyageurs"
"44","1990",16.9549999237061,"Voyageurs"
"45","1991",16.7283331553141,"Voyageurs"
"46","1992",14.2733332316081,"Voyageurs"
"47","1993",15.0866670608521,"Voyageurs"
"48","1994",16.2199999491374,"Voyageurs"
"49","1995",16.5283330281576,"Voyageurs"
"50","1996",16.6400003433228,"Voyageurs"
"51","1997",16.0516665776571,"Voyageurs"
"52","1998",17.1483325958252,"Voyageurs"
"53","1999",15.9416666030884,"Voyageurs"
"54","2000",15.9916667938232,"Voyageurs"
"55","2001",16.8283335367839,"Voyageurs"
"56","2002",17.5666669209798,"Voyageurs"
"57","2003",16.8550001780192,"Voyageurs"
"58","2004",15.4833329518636,"Voyageurs"
"59","2005",16.5850003560384,"Voyageurs"
"60","2006",16.8149995803833,"Voyageurs"
"61","2007",16.0849997202555,"Voyageurs"
"62","2008",15.6300001144409,"Voyageurs"
"63","2009",15.6500002543132,"Voyageurs"
"64","2010",16.1833327611287,"Voyageurs"
"65","2011",16.7916669845581,"Voyageurs"
"66","2012",16.3616663614909,"Voyageurs"
"67","2013",16.7466669082642,"Voyageurs"
"68","2014",15.6033331553141,"Voyageurs"
"69","1980",9.09000031153361,"Rocky"
"70","1982",8.27166700363159,"Rocky"
"71","1983",9.32166639963786,"Rocky"
"72","1984",8.01500002543131,"Rocky"
"73","1985",7.04333353042603,"Rocky"
"74","1986",7.54333337148031,"Rocky"
"75","1987",7.88333320617676,"Rocky"
"76","1988",8.84999990463257,"Rocky"
"77","1989",8.40333350499471,"Rocky"
"78","1990",8.60499986012777,"Rocky"
"79","1991",8.09833335876465,"Rocky"
"80","1992",7.73000033696492,"Rocky"
"81","1993",7.23166656494141,"Rocky"
"82","1994",8.82166655858358,"Rocky"
"83","1995",8.61666663487752,"Rocky"
"84","1996",8.24833329518636,"Rocky"
"85","1997",8.72166665395101,"Rocky"
"86","1998",9.8116668065389,"Rocky"
"87","1999",8.18333339691162,"Rocky"
"88","2000",9.71666653951009,"Rocky"
"89","2001",9.70666662851969,"Rocky"
"90","2002",9.60166676839193,"Rocky"
"91","2003",9.72333335876465,"Rocky"
