"x","median","fifth","ninetyfifth","twentyfifth","seventyfifth"
2126.73414988973,0.255,0,0,0.15875,0.499
2129.12434585633,0.255,0,0,0.15875,0.499
2131.51454182292,0.255,0,0,0.15875,0.499
2133.90473778952,0.185,0,0,0.086,0.379
2136.29493375611,0.097,0,0,0.045,0.177
2138.6851297227,0.067,0,0,0.008,0.157
2141.0753256893,0.067,0,0,0.008,0.157
2143.46552165589,0.067,0,0,0.008,0.157
2145.85571762249,0.067,0,0,0.008,0.157
2148.24591358908,0.067,0,0,0.008,0.157
2150.63610955567,0.067,0,0,0.008,0.157
2153.02630552227,0.067,0,0,0.008,0.157
2155.41650148886,0.067,0,0,0.008,0.157
2157.80669745546,0.067,0,0,0.008,0.157
2160.19689342205,0.0635,0,0,0.008,0.154
2162.58708938864,0.0635,0,0,0.008,0.154
2164.97728535524,0.0635,0,0,0.008,0.154
2167.36748132183,0.047,0,0,0.008,0.134
2169.75767728843,0.047,0,0,0.008,0.134
2172.14787325502,0.047,0,0,0.008,0.134
2174.53806922161,0.047,0,0,0.008,0.134
2176.92826518821,0.047,0,0,0.008,0.134
2179.3184611548,0.046,0,0,0.006,0.134
2181.7086571214,0.046,0,0,0.006,0.134
2184.09885308799,0.046,0,0,0.006,0.134
2186.48904905458,0.046,0,0,0.006,0.134
2188.87924502118,0.046,0,0,0.006,0.134
2191.26944098777,0.046,0,0,0.006,0.134
2193.65963695437,0.046,0,0,0.006,0.134
2196.04983292096,0.06,0,0,0.019,0.151
2198.44002888755,0.06,0,0,0.019,0.151
2200.83022485415,0.048,0,0,0.007,0.139
2203.22042082074,0.046,0,0,0.006,0.139
2205.61061678734,0.046,0,0,0.006,0.139
2208.00081275393,0.046,0,0,0.006,0.139
2210.39100872052,0.046,0,0,0.006,0.139
2212.78120468712,0.046,0,0,0.006,0.139
2215.17140065371,0.046,0,0,0.006,0.139
2217.56159662031,0.046,0,0,0.006,0.139
2219.9517925869,0.046,0,0,0.006,0.139
2222.34198855349,0.047,0,0,0.006,0.14
2224.73218452009,0.049,0,0,0.006,0.141
2227.12238048668,0.049,0,0,0.006,0.141
2229.51257645328,0.049,0,0,0.006,0.141
2231.90277241987,0.05,0,0,0.006,0.141
2234.29296838646,0.05,0,0,0.006,0.141
2236.68316435306,0.051,0,0,0.006,0.142
2239.07336031965,0.0575,0,0,0.009,0.147
2241.46355628625,0.133,0,0,0.045,0.214
2243.85375225284,0.105,0,0,0.026,0.191
2246.24394821943,0.104,0,0,0.028,0.206
2248.63414418603,0.094,0,0,0.026,0.193
2251.02434015262,0.135,0,0,0.041,0.232
2253.41453611922,0.101,0,0,0.03,0.183
2255.80473208581,0.088,0,0,0.021,0.164
2258.1949280524,0.101,0,0,0.03,0.19025
